title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,url,categoryName
Chembe Christian School,,,G8VW+2H3,Lusaka,,ZM,,+260 97 9273740,Parochial school,,,,https://www.google.com/maps/search/?api=1&query=Chembe%20Christian%20School&query_place_id=ChIJm3uRdYaNQBkRuJx_hRrhe2Q,Parochial school
Lake Road PTA School,,,Lake Road Lake Road PTA School Corner of Lake Road & Leopards Road Woodlands Lusaka ZM,Lusaka,,ZM,https://www.lakeroadptaschool.ac.zm/,+260 77 1406337,General education school,High school,Primary school,,https://www.google.com/maps/search/?api=1&query=Lake%20Road%20PTA%20School&query_place_id=ChIJATOki1CMQBkRHg4AxeqBFKQ,General education school
Dallas private school,,,762 T2,Kabwe,,ZM,,,Middle school,,,,https://www.google.com/maps/search/?api=1&query=Dallas%20private%20school&query_place_id=ChIJkcTLCmO7ahkR5v2bKMqGXtA,Middle school
Twins Legacy Academy,,,,Lusaka,,ZM,,+260 97 0372057,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Twins%20Legacy%20Academy&query_place_id=ChIJBfJu3Tf1QBkR7FAx6bLPAG0,Private educational institution
Lwengu Private School,,,"PFR9+HCC, Unnamed Rd",Monze,,ZM,,+260 96 2588522,Secondary school,,,,https://www.google.com/maps/search/?api=1&query=Lwengu%20Private%20School&query_place_id=ChIJH6jF1CW3RhkRX8bKpqX22x8,Secondary school
Southview Academy,,,"15°28'05.5""S 28°15, off Kafue Road, 42 1""E",Lusaka,,ZM,,+260 96 2347338,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Southview%20Academy&query_place_id=ChIJm-N1tVjzQBkRLdWRBezcO1Q,Private educational institution
NOAHS ARK SCHOOL,,,"G6JV+MFQ, Unnamed Road",Lusaka,,ZM,https://mobile.facebook.com/noahsarkschoollusaka/?_rdc=1&_rdr,+260 96 6767631,Elementary school,,,,https://www.google.com/maps/search/?api=1&query=NOAHS%20ARK%20SCHOOL&query_place_id=ChIJcbCExFXyQBkRjKVLnViQAUc,Elementary school
"Ashford Academy, Lusaka",,,"Plot L 16850/M Ngwerere Road, Near Six Miles Lusaka",Lusaka,,ZM,https://ashfordacademy.net/,+260 211 292 222,High school,,,,https://www.google.com/maps/search/?api=1&query=Ashford%20Academy%2C%20Lusaka&query_place_id=ChIJPX8VVqRfQBkRGvASY2tI_as,High school
Lebanese International School,,,Linda Road,Lusaka,,ZM,,+260 96 4177446,International school,,,,https://www.google.com/maps/search/?api=1&query=Lebanese%20International%20School&query_place_id=ChIJvyyrMXryQBkRIMNYGyEQbME,International school
Ranchdale Academy,5,1,M99F+94W,Lusaka,,ZM,https://www.facebook.com/profile.php?id=61553365523205&mibextid=ZbWKwL,+260 97 2235211,K-12 school,,,,https://www.google.com/maps/search/?api=1&query=Ranchdale%20Academy&query_place_id=ChIJ716st0FjQBkRSNoVLE_aI2o,K-12 school
Nakambala Private School,,,5Q3F+467,Mazabuka,,ZM,,,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Nakambala%20Private%20School&query_place_id=ChIJ2WgsU40kQRkRJj-H3HOuq44,Private educational institution
Nouv Eleden School,5,1,Plot 17857 Libala South off Kasama Road Njanji SDA Lusaka ZM,Lusaka,,ZM,,+260 97 3424582,Educational institution,Preschool,,,https://www.google.com/maps/search/?api=1&query=Nouv%20Eleden%20School&query_place_id=ChIJV_ZJggyNQBkR78roks3xa7w,Educational institution
Springfields School Of Education,,,61 Independence Avenue Lusaka ZM,Lusaka,,ZM,https://springfieldseducation.com/,+260 211 254 976,Combined primary and secondary school,,,,https://www.google.com/maps/search/?api=1&query=Springfields%20School%20Of%20Education&query_place_id=ChIJrUQGwVLzQBkRDUdMMIno3Kk,Combined primary and secondary school
North Park School,,,"M77G+487, T2",Lusaka,,ZM,,,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=North%20Park%20School&query_place_id=ChIJ5c_hT2f1QBkRoYO2cEyo1Ek,Private educational institution
Great North Road Academy,,,"H7VH+79P, Musonde Ngosa Rd",Lusaka,,ZM,,+260 95 5592320,Higher secondary school,,,,https://www.google.com/maps/search/?api=1&query=Great%20North%20Road%20Academy&query_place_id=ChIJH5DRAKP0QBkR8itinhZDk8Q,Higher secondary school
Safe World Trust School,3.7,3,"UTH, Nationalist",Lusaka,,ZM,,+260 97 2898798,Educational institution,,,,https://www.google.com/maps/search/?api=1&query=Safe%20World%20Trust%20School&query_place_id=ChIJHYxCfiqNQBkR3s4kDFrfMJI,Educational institution
New Avondale Academy,,,,Lusaka,,ZM,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjn2d3C1Oj7AhWSolwKHe1oCzcQFnoECA0QAQ&url=https://www.facebook.com/NewAvondaleAcademy/&usg=AOvVaw2h2oPyZaKh5bQ6eDgE3dEl,,General education school,,,,https://www.google.com/maps/search/?api=1&query=New%20Avondale%20Academy&query_place_id=ChIJ2-N6686JQBkRMsHsfbJQCdo,General education school
Starise Academy,,,,Kabwe,,ZM,,+260 97 1077521,Primary school,,,,https://www.google.com/maps/search/?api=1&query=Starise%20Academy&query_place_id=ChIJ5Xb7S6O7ahkR3NmS-HrK_c0,Primary school
STEM INTERNATIONAL SCHOOL ZAMBIA,3.4,5,Beu,Lusaka,,ZM,,+260 97 9960710,Education center,,,,https://www.google.com/maps/search/?api=1&query=STEM%20INTERNATIONAL%20SCHOOL%20ZAMBIA&query_place_id=ChIJZ5x9MAqLQBkRBcRjxUyNeeY,Education center
Tick School,,,G83M+QFJ,Lusaka,,ZM,,+260 77 0906511,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Tick%20School&query_place_id=ChIJbdzC2pySQBkRjBqhJE3C6ho,Private educational institution
Habuche Private School,,,Plot 446 Shebenzu Rd,Mazabuka,,ZM,,+260 97 3389516,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Habuche%20Private%20School&query_place_id=ChIJR2diZ90kQRkR4JuPjPcZWp4,Private educational institution
B-Wise School,,,,Lusaka,,ZM,http://bwiseschool.rf.gd/,+260 95 0525663,Combined primary and secondary school,,,,https://www.google.com/maps/search/?api=1&query=B-Wise%20School&query_place_id=ChIJd8urxjfzQBkRpFVdGNfFacM,Combined primary and secondary school
Namununga School,,,"H7WG+W93, Chandwe Musonda Rd",Lusaka,,ZM,https://thebestofzambia.com/orgs/namununga-school,+260 95 4867084,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Namununga%20School&query_place_id=ChIJHad32Jf0QBkRvB_pFgHXq08,Private educational institution
Chudleigh House School,,,plot 11289,Lusaka,,ZM,http://www.chudleighhouseschool.com/,+260 95 3074465,Combined primary and secondary school,,,,https://www.google.com/maps/search/?api=1&query=Chudleigh%20House%20School&query_place_id=ChIJJ-IKMMaLQBkRfs1L5C1qYN8,Combined primary and secondary school
Noteworthy STEM Private Schools,,,"Near Chainda Market, 9 New Avondale, Off Simon Mwansa Kapwepwe",Lusaka,,ZM,,+260 97 1587726,Special education school,,,,https://www.google.com/maps/search/?api=1&query=Noteworthy%20STEM%20Private%20Schools&query_place_id=ChIJO4Srgb6NQBkRXfGSNf58Lp8,Special education school
Cedrus International School,,,"Plot No, 6864, Akanongo Road, Olympia Extension",Lusaka,,ZM,,+260 97 0623636,General education school,,,,https://www.google.com/maps/search/?api=1&query=Cedrus%20International%20School&query_place_id=ChIJBV1IqDOLQBkRJ9aRolld0FM,General education school
Shuttle Private School ltd,5,3,"H73R+38G, Plot No. 15013/917, Opal Street, Near Goldcrest Mall Kamwala South Lusaka, Paul Ngozi St",Lusaka,,ZM,https://shuttle.edu.zm/,+260 97 7665834,Educational institution,,,,https://www.google.com/maps/search/?api=1&query=Shuttle%20Private%20School%20ltd&query_place_id=ChIJwUzwQ_fzQBkRmr2TJomW41U,Educational institution
Thea Nursery And Primary school,,,,Lusaka,,ZM,https://theaschool.carrd.co/,+260 97 7859864,Private educational institution,Primary school,,,https://www.google.com/maps/search/?api=1&query=Thea%20Nursery%20And%20Primary%20school&query_place_id=ChIJFzyyefeMQBkR6mZSePHZ84U,Private educational institution
Marigold Trust School,4.8,6,G985+2RR,Lusaka,,ZM,,+260 97 7122684,Educational institution,,,,https://www.google.com/maps/search/?api=1&query=Marigold%20Trust%20School&query_place_id=ChIJ_7U3uzKNQBkRGQL4522-E8U,Educational institution
Jesna School,,,"1 Mwansabombwe road, Olympia park Lusaka ZM",Lusaka,,ZM,,+260 96 1462788,Private educational institution,Primary school,General education school,,https://www.google.com/maps/search/?api=1&query=Jesna%20School&query_place_id=ChIJT0qvbRqLQBkRp3HH08pGMwk,Private educational institution
Starkid Academy,,,,Lusaka,,ZM,,+260 97 0011181,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Starkid%20Academy&query_place_id=ChIJyav8WSyNQBkRKWft3o-XF5M,Private educational institution
Ramah-Naioth Christian School,,,"G6J3+96G, Makeni Rd",Lusaka,,ZM,,+260 97 8402404,Parochial school,,,,https://www.google.com/maps/search/?api=1&query=Ramah-Naioth%20Christian%20School&query_place_id=ChIJyV9tNYDxQBkRE61yKSPfETU,Parochial school
Makeni Vineyard School,5,1,Plot 396 Makeni Rd,Lusaka,,ZM,,+260 96 3525635,Educational institution,,,,https://www.google.com/maps/search/?api=1&query=Makeni%20Vineyard%20School&query_place_id=ChIJVyUIJA_zQBkRW2-CwZWqR_o,Educational institution
EARK International School,,,"9700, off Central St",Lusaka,,ZM,https://www.earkinternationalschool.org/,+260 95 5000222,Combined primary and secondary school,,,,https://www.google.com/maps/search/?api=1&query=EARK%20International%20School&query_place_id=ChIJnSi3geeLQBkRAB91YHDJsUQ,Combined primary and secondary school
Freedom Private School,,,HC4V+XMV,Kabwe,,ZM,,,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Freedom%20Private%20School&query_place_id=ChIJn_30YN66ahkRgeA7sojjOik,Private educational institution
Makeni West Wing School,,,,Lusaka,,ZM,https://makeniwestwing.com/,+260 97 5687208,Combined primary and secondary school,,,,https://www.google.com/maps/search/?api=1&query=Makeni%20West%20Wing%20School&query_place_id=ChIJjyFB6Q7yQBkRzAsWEuUdPmE,Combined primary and secondary school
Nataila School Limited,5,3,Mumbwa road lusaka ZM,Lusaka,,ZM,,+260 97 7322706,Educational institution,,,,https://www.google.com/maps/search/?api=1&query=Nataila%20School%20Limited&query_place_id=ChIJc_UkgefzQBkRrxYf5Hi9lx8,Educational institution
Champions highway school,,,110100,Lusaka,,ZM,http://www.championshighwayschool.com/,+260 97 7815582,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Champions%20highway%20school&query_place_id=ChIJ0xraedv1QBkRMDPgdMQa6Z8,Private educational institution
Chilimoyo International Christian School,,,"H87J+C9J, Cedar Rd",Lusaka,,ZM,,+260 97 1518168,Primary school,,,,https://www.google.com/maps/search/?api=1&query=Chilimoyo%20International%20Christian%20School&query_place_id=ChIJrarIgoaNQBkR9JZQm1tSJ6Q,Primary school
Rosebank School,3.7,3,,Chilanga,,ZM,,+260 97 7126658,School,Educational institution,,,https://www.google.com/maps/search/?api=1&query=Rosebank%20School&query_place_id=ChIJKxAh8Q3tQBkR1UEjl1wR494,School
Great Scholars Academy,,,C7RM+FFV,Chilanga,,ZM,,+260 97 2956371,Parochial school,,,,https://www.google.com/maps/search/?api=1&query=Great%20Scholars%20Academy&query_place_id=ChIJkXO1dVPtQBkR_A9wFlMosSU,Parochial school
Sonshine School,,,Katima Mulilo Rd,Lusaka,,ZM,https://sonshineschools.org/,+260 97 5884866,Combined primary and secondary school,,,,https://www.google.com/maps/search/?api=1&query=Sonshine%20School&query_place_id=ChIJBUdGCzSLQBkRodDyPL0Ne7c,Combined primary and secondary school
Dream Chalom School,4.4,7,10 Ngwezi Rd,Lusaka,,ZM,,+260 97 9341729,Educational institution,,,,https://www.google.com/maps/search/?api=1&query=Dream%20Chalom%20School&query_place_id=ChIJa-6friiLQBkRbqbeDKudnDs,Educational institution
Tachemwa private school,,,G8X4+W4Q,Lusaka,,ZM,,,Private educational institution,,,,https://www.google.com/maps/search/?api=1&query=Tachemwa%20private%20school&query_place_id=ChIJHZ0QbZSNQBkRZJVpXyMPhkA,Private educational institution
Acacia International School,,,4RX9+QQG Nakatindi Road,Livingstone,,ZM,http://www.acaciaschool.com/,+260 95 0318656,Primary school,,,,https://www.google.com/maps/search/?api=1&query=Acacia%20International%20School&query_place_id=ChIJT1Xr-KXwTxkR-z2q5-_7FQ0,Primary school
Whispering Hope Private School,5,1,5XVM+JGF,Choma,,ZM,,,Nursery school,,,,https://www.google.com/maps/search/?api=1&query=Whispering%20Hope%20Private%20School&query_place_id=ChIJLzpYYLszRBkRSZFb5kQ_6jU,Nursery school
